date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,mean_price,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,19947.4331978868,0.0000000000,-362.9030008331,0.0000000000,19584.5301970536,18464.1332151145,46856.2644687382,45615.3808029398,0.0000000000,0.0000000000,1240.8836657984,22447.6085722878,15738.3896190965,4527.9859164152,5280.4291660000,7996.1773042851,0.6514930556,0.0000000000,0.0000000000,1859.1376637521,10800.0000000000
2025-02-02,63606.6170917158,0.0000000000,-1234.8335594672,0.0000000000,62371.7835322485,61669.3095726409,91762.2187985464,88632.0825907244,0.0000000000,0.0000000000,3130.1362078220,24075.3580816031,17968.5759812394,4169.0225403607,7996.1773042851,9698.9151541285,0.8363881944,0.0000000000,0.0000000000,1275.0492836438,10800.0000000000
2025-02-03,64974.1288232041,410.8268092773,-1841.5205774383,0.0000000000,63543.4350550430,63193.1254367588,91664.2575605558,87623.8794034579,0.0000000000,220.2542836916,4260.6324407895,24487.8349612492,19070.9373479406,1990.0652901493,9698.9151541285,10548.0362326521,0.8447902778,0.0000000000,0.0000000000,1452.2193344547,10800.0000000000
2025-02-04,67560.9145643428,0.0000000000,-3151.6737286733,0.0000000000,64409.2408356696,65193.3087813914,92560.4855753281,85677.2229191693,0.0000000000,0.0000000000,6883.2626561588,21350.0223759191,19003.9814588189,2136.3180520691,10548.0362326521,8647.5214167361,0.8491895833,0.0000000000,0.0000000000,1258.9145510060,10800.0000000000
2025-02-05,64521.3302190270,14.3873300720,-1302.0453251440,0.0000000000,63233.6722239550,62352.5592492402,91759.6635105200,88894.6665293152,0.0000000000,6.9975546915,2871.9945358963,26356.6933887234,19426.7522144350,1216.2983716935,8647.5214167361,10783.2652283260,0.8482541667,0.0000000000,0.0000000000,1266.6745370530,10800.0000000000
2025-02-06,66451.1834817784,447.8247091278,-3846.1377852040,176.8054928614,63229.6758985635,64510.2832534856,91153.8351761178,82793.5964355118,24.5481567791,248.5323453443,8608.7710859502,20496.8248400535,19396.1042785013,1446.3668140721,10783.2652283260,7679.1806082615,0.8439645833,0.0000000000,0.0000000000,1564.3332244913,10800.0000000000
2025-02-07,18145.1750088699,0.0000000000,-1104.5520063939,1569.1771624110,18609.8001648869,19263.8332666370,42933.4629591056,38396.6073633700,370.4384236098,0.0000000000,4536.8555957356,18535.6868718842,16440.6955189801,4866.3747674091,7679.1806082615,6093.8593274238,0.6440388889,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,15261.5552591898,624.0328378719,-0.4973018221,46.6647271347,15931.7555223744,15931.2010745627,37320.7750712888,37805.8505944219,9.4025241053,487.9956747601,2.9201516270,20835.6408717196,16875.6595646777,2278.1090948187,6093.8593274238,6095.2032623295,0.6423513889,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-09,64500.1740240084,0.0000000000,-1242.0660004947,0.0000000000,63258.1080235137,61804.7239170870,92994.8206332144,90301.0247283356,0.0000000000,0.0000000000,2693.7959048787,26433.6992625703,18240.7035499870,2552.6130490857,6095.2032623295,9618.0842097683,0.8413840278,0.0000000000,0.0000000000,1411.2703931516,10800.0000000000
2025-02-10,57685.8880128001,0.0000000000,-1838.1501821016,0.0000000000,55847.7378306985,55393.3948010757,85550.5267351735,81027.2688524016,0.0000000000,0.0000000000,4523.2578827718,23511.3482840967,18053.0317169202,1242.3147018918,9618.0842097683,10719.3735355440,0.8180638889,0.0000000000,0.0000000000,1269.3103885269,10800.0000000000
